,angry,complexity
0,0.8753395080566406,51.016
1,0.011779796332120895,31.6667
2,0.7059420943260193,109.2935
3,0.8287990689277649,47.9039
4,0.9632538557052612,40.0039
5,0.9640726447105408,73.5123
6,0.2736726403236389,130.6183
7,0.9123818874359131,77.3665
8,0.944856584072113,68.4056
9,0.928296685218811,80.3721
10,0.9433252215385437,78.1699
11,0.3569030165672302,95.3191
12,0.9436765313148499,62.2629
13,0.9642751812934875,63.7143
14,0.897563636302948,93.8125
15,0.9084194898605347,71.4463
16,0.8027346134185791,92.9452
17,0.9061259627342224,62.9333
18,0.876653254032135,86.0912
19,0.9315134286880493,54.7462
20,0.7776716947555542,43.1665
21,0.8831576704978943,35.6601
22,0.86646568775177,42.8806
23,0.9470480680465698,43.6486
24,0.9627873301506042,40.7484
25,0.8607583045959473,40.2139
26,0.7773828506469727,55.8365
27,0.9440627098083496,67.0912
28,0.9666655659675598,63.4972
29,0.4905974864959717,54.7292
30,0.9261757135391235,51.7579
31,0.8524990677833557,69.8182
32,0.938612699508667,122.6087
33,0.9538507461547852,90.8481
34,0.9074164628982544,47.1461
35,0.9101439118385315,96.4259
36,0.9230993390083313,72.5284
37,0.8790156245231628,40.1179
38,0.9423064589500427,61.0638
39,0.9339048862457275,45.5
40,0.7564545273780823,71.2048
41,0.636409342288971,155.5329
42,0.9595827460289001,74.0204
43,0.9268622994422913,166.2337
44,0.7752929329872131,55.1447
45,0.777965247631073,58.3964
46,0.84140944480896,79.4104
47,0.865683376789093,90.9145
48,0.9353782534599304,88.0909
49,0.7369093894958496,71.3509
50,0.9420585036277771,61.25
51,0.93479984998703,55.9687
52,0.9591737985610962,88.2307
53,0.9404209852218628,48.4929
54,0.8669140338897705,48.7452
55,0.8356947898864746,110.7097
56,0.881470263004303,45.9149
57,0.9514802694320679,70.6784
58,0.05754536762833595,49.2308
59,0.8584206700325012,51.6857
60,0.8655606508255005,65.5076
61,0.5804306864738464,68.2473
62,0.4118618369102478,98.9377
63,0.8494940996170044,84.8366
64,0.9182556867599487,131.0842
65,0.9146166443824768,33.2222
66,0.927827775478363,126.1958
67,0.8938817977905273,87.1843
68,0.9411036968231201,50.9091
69,0.9238852262496948,81.0711
70,0.8552628755569458,43.8439
71,0.7821827530860901,68.5145
72,0.9532959461212158,43.972
73,0.9144959449768066,82.2278
74,0.8929275870323181,80.8201
75,0.9422529935836792,52.2952
76,0.8340674042701721,74.4665
